layout, interference, inter_sd, hops, hops_sd, throughput, nodes, type
R, 4.4, 3.693, 0.666, 0.471, 0.136, 30, alg2
R, 9.25, 8.536, 0.84, 0.366, 0.058, 100, alg2
R, 16.03, 22.80, 0.856, 0.351, 0.033, 250, alg2
SC, 7.1, 4.7, 0.8, 0.4, 0.078, 30, alg2
SC, 10.65, 11.68, 0.82, 0.384, 0.051, 100, alg2
SC, 18.51, 25.67, 0.856, 0.351, 0.029, 250, alg2
C, 10.83, 6.812, 0.833, 0.372, 0.050, 30, alg2
C, 15.24, 18.16, 0.85, 0.357, 0.035, 100, alg2
C, 21.44, 28.25, 0.868, 0.338, 0.024, 250, alg2
