layout, interference, inter_sd, hops, hops_sd, throughput, nodes, type
R, 9.033, 3.919, 0.0, 0.0, 0.110, 30, alg1
R, 30.16, 9.434, 0.0, 0.0, 0.033, 100, alg1
R, 72.65, 26.95, 0.0, 0.0, 0.013, 250, alg1
SC, 13.96, 4.362, 0.0, 0.0, 0.071, 30, alg1
SC, 32.6, 15.09, 0.0, 0.0, 0.030, 100, alg1
SC, 75.63, 31.96, 0.0, 0.0, 0.013, 250, alg1
C, 19.2, 7.263, 0.0, 0.0, 0.052, 30, alg1
C, 40.99, 18.58, 0.0, 0.0, 0.024, 100, alg1
C, 85.30, 29.38, 0.0, 0.0, 0.011, 250, alg1
