layout, interference, inter_sd, hops, hops_sd, throughput, nodes, type
R, 3.866, 2.348, 1.033, 0.604, 0.127, 30, Single-Tier Centralization
R, 6.44, 7.521, 1.65, 0.572, 0.058, 100, Single-Tier Centralization
R, 13.49, 16.47, 1.604, 0.572, 0.028, 250, Single-Tier Centralization
SC, 6.166, 4.913, 1.033, 0.795, 0.079, 30, Single-Tier Centralization
SC, 8.08, 10.76, 1.36, 0.671, 0.052, 100, Single-Tier Centralization
SC, 13.38, 18.29, 1.68, 0.574, 0.027, 250, Single-Tier Centralization
C, 8.6, 8.920, 0.833, 0.687, 0.063, 30, Single-Tier Centralization
C, 9.01, 11.90, 1.2, 0.632, 0.050, 100, Single-Tier Centralization
C, 15.42, 14.91, 1.872, 0.389, 0.022, 250, Single-Tier Centralization
