layout, interference, inter_sd, hops, hops_sd, throughput, nodes, type
R, 2.333, 1.349, 2.0, 1.064, 0.142, 30, Semi-Recursive Proximity Greedy
R, 9.54, 6.632, 2.71, 0.725, 0.028, 100, Semi-Recursive Proximity Greedy
R, 40.41, 23.62, 2.892, 0.473, 0.006, 250, Semi-Recursive Proximity Greedy
SC, 4.633, 3.525, 2.2, 1.077, 0.067, 30, Semi-Recursive Proximity Greedy
SC, 19.08, 12.23, 2.77, 0.690, 0.013, 100, Semi-Recursive Proximity Greedy
SC, 49.14, 28.57, 2.9, 0.458, 0.005, 250, Semi-Recursive Proximity Greedy
C, 7.133, 4.356, 2.266, 1.093, 0.042, 30, Semi-Recursive Proximity Greedy
C, 16.78, 10.68, 2.78, 0.686, 0.015, 100, Semi-Recursive Proximity Greedy
C, 42.68, 22.83, 2.892, 0.473, 0.006, 250, Semi-Recursive Proximity Greedy
