algorithm,nodes,interference,sd_interference,hops,sd_hops,distance,sd_dist,totalTraffic,cluster
4,100,1.94,1.2792185114357915,6.22,3.497370440774039,450.4677607679367,193.72174645451813,3766.237703680992,None
5,100,9.53,6.285626460425406,2.69,0.7442445834535849,366.5401357269287,123.8992360068446,1920.031807422638,None
6,100,10.99,7.845374433384299,1.7,0.5567764362830018,408.087655506134,120.25069927787855,1413.7318878173828,None
7,100,6.81,7.973324275357172,1.64,0.5748043145279969,358.6129766845703,123.08212597626341,1399.3489711284637,None
8,100,19.68,9.324033461973414,0.95,0.21794494717703453,320.898867893219,114.05648939078459,1020.697422504425,None
1,100,29.19,10.090287409187116,0.0,0.0,319.5826609802246,102.68215210422264,497.5035831928253,None
2,100,9.24,9.119342081531975,0.84,0.3666060555964677,350.6734146499634,119.46492072083008,929.3184578418732,None
3,100,7.06,8.830424678349281,0.84,0.3666060555964677,359.2290934562683,108.55298041972365,929.3184578418732,None
4,100,2.05,1.409787217987168,5.91,3.2034200473868553,437.6134270858765,155.36018698424107,3509.950718998909,None
5,100,7.69,5.262499406175738,2.67,0.7622991538759563,386.7218262290955,126.17590495846649,1835.8777296543121,None
6,100,11.48,8.47287436470056,1.7,0.5567764362830019,435.3444422149658,126.14188949517525,1342.9013851881027,None
7,100,6.9,8.380334122217326,1.46,0.6390618123468184,393.30476731300354,118.2069427170404,1228.464915752411,None
8,100,21.96,10.107343864735185,0.95,0.2179449471770345,364.7190030670166,113.57209730808194,969.6522059440613,None
1,250,74.516,27.24279251471845,0.0,0.0,318.4625500488281,105.8471138134248,1238.3080537319183,None
2,250,17.1,23.62849974077915,0.856,0.3510897321198664,343.4835720386505,121.10631184274641,2314.340743303299,None
3,250,12.836,23.921561487494927,0.856,0.3510897321198664,358.34874627113345,115.7276746044776,2314.340743303299,None
4,250,1.96,1.4164744967700629,8.928,4.156298353102194,454.33855285835267,159.56578921395013,12175.172290086746,None
5,250,31.036,20.463496866371603,2.852,0.5273480823896162,362.10197542572024,111.1359464513578,4767.381228208542,None
6,250,21.616,20.017106284375878,1.86,0.40049968789001417,451.8766089401245,92.65875304348366,3541.632187128067,None
7,250,11.776,17.879983892610195,1.584,0.60244833803406,389.4504660682678,115.59930519007803,3198.737024307251,None
8,250,60.604,25.960415713158373,0.98,0.13999999999999985,351.8088799934387,108.71050992915107,2455.0506744384766,None
1,250,73.288,26.424326973453848,0.0,0.0,310.27210844421387,110.23826346024033,1208.7285915613174,None
