layout, interference, inter_sd, hops, hops_sd, throughput, nodes, type
R, 3.933, 3.678, 0.666, 0.471, 0.152, 30, alg3
R, 7.82, 8.464, 0.84, 0.366, 0.069, 100, alg3
R, 12.84, 23.25, 0.856, 0.351, 0.041, 250, alg3
SC, 5.433, 4.923, 0.8, 0.4, 0.102, 30, alg3
SC, 8.67, 11.86, 0.82, 0.384, 0.063, 100, alg3
SC, 14.13, 25.62, 0.856, 0.351, 0.038, 250, alg3
C, 7.166, 6.039, 0.833, 0.372, 0.076, 30, alg3
C, 9.75, 14.12, 0.85, 0.357, 0.055, 100, alg3
C, 15.93, 28.15, 0.868, 0.338, 0.033, 250, alg3
