layout, interference, inter_sd, hops, hops_sd, throughput, nodes, type
R, 1.766, 1.308, 2.933, 1.711, 0.143, 30, Fully-Recursive Proximity Greedy
R, 2.07, 1.484, 5.38, 2.481, 0.075, 100, Fully-Recursive Proximity Greedy
R, 2.032, 1.367, 10.88, 5.088, 0.041, 250, Fully-Recursive Proximity Greedy
SC, 3.366, 3.506, 4.866, 3.603, 0.050, 30, Fully-Recursive Proximity Greedy
SC, 2.6, 2.894, 9.45, 5.237, 0.036, 100, Fully-Recursive Proximity Greedy
SC, 2.364, 2.766, 13.19, 6.161, 0.029, 250, Fully-Recursive Proximity Greedy
C, 3.866, 4.462, 3.5, 2.334, 0.057, 30, Fully-Recursive Proximity Greedy
C, 3.08, 4.318, 8.18, 4.387, 0.035, 100, Fully-Recursive Proximity Greedy
C, 3.556, 6.443, 14.15, 7.905, 0.018, 250, Fully-Recursive Proximity Greedy
