algorithm,nodes,interference,sd_interference,hops,sd_hops,distance,sd_dist,totalTraffic,cluster
1,30,9.166666666666666,3.2973052970906735,0.0,0.0,331.9678225199381,115.40424875491695,139.4618947505951,None
2,30,4.2,2.902872140943632,0.7333333333333333,0.44221663871405353,392.33875325520836,165.0703733363407,246.70601785182953,None
3,30,3.966666666666667,2.9493878837631526,0.7333333333333333,0.44221663871405353,390.7260164896647,154.53496877895176,246.70601785182953,None
4,30,1.9333333333333333,1.236482466066094,3.033333333333333,2.15225979431439,479.4567907969157,213.9594190443042,604.3184623718262,None
5,30,4.6,2.230097157823698,1.0666666666666667,0.6289320754704402,383.25672861735023,154.59255642642117,308.9034148454666,None
6,30,5.233333333333333,2.1084486134491285,0.8333333333333334,0.3726779962499649,363.82486928304036,132.60775498145028,262.79154193401337,None
1,30,10.1,4.221768981521056,0.0,0.0,315.68971888224286,108.74655892486527,158.33633160591125,None
2,30,5.366666666666666,3.7813871646379833,0.7333333333333333,0.44221663871405337,371.67273178100584,152.49643979518567,278.5434852838516,None
3,30,4.166666666666667,3.3870669054835956,0.7333333333333333,0.44221663871405337,379.9659098307292,156.06135543635125,278.5434852838516,None
4,30,2.033333333333333,1.3535960336164634,3.566666666666667,2.5256462319352826,478.65660394032795,253.83039775905638,667.7662838697433,None
5,30,4.833333333333333,2.8877134360751398,0.9666666666666667,0.546707315561891,374.2518476486206,134.42085479383724,311.69465160369873,None
6,30,5.233333333333333,2.800991887806095,0.8333333333333334,0.3726779962499649,367.69554799397787,133.1841504249696,285.5128412246704,None
1,30,9.166666666666666,3.847798793538398,0.0,0.0,300.87615337371824,123.55803872002195,118.7918051481247,None
2,30,4.033333333333333,2.926697038566779,0.6666666666666666,0.47140452079103146,342.0710912704468,157.20539471512942,186.13568675518036,None
3,30,3.9,3.014962686336267,0.6666666666666666,0.47140452079103146,347.4019920984904,156.8082858110794,186.13568675518036,None
4,30,1.8666666666666667,1.3097921802925663,2.8,1.758787461103056,405.9054874420166,198.85131053427972,431.9250428676605,None
5,30,3.933333333333333,2.5681813712344295,1.2,0.7023769168568492,365.0606735865275,175.78185557799523,248.07851016521454,None
6,30,5.566666666666666,2.8598756771735534,0.8333333333333334,0.3726779962499649,333.63722133636475,145.22166421666532,212.4892876148224,None
1,100,29.5,11.489560478973946,0.0,0.0,319.05521606445313,120.96197325631756,480.6772667169571,None
2,100,8.78,9.615175505418504,0.84,0.3666060555964677,356.6799468421936,142.7483810345074,871.3864476680756,None
3,100,7.28,9.479535853616463,0.84,0.3666060555964677,360.906220998764,138.52865797681204,871.3864476680756,None
4,100,2.18,1.6148064899547576,5.76,3.4354621232084623,465.00319250583647,203.51731817643642,3097.4412401914597,None
5,100,8.84,7.300301363642462,1.7,0.5567764362830019,418.64641942977903,110.23917851884967,1279.2518850564957,None
6,100,19.34,9.46701642546373,0.95,0.21794494717703441,369.93192368507385,117.20585490915055,931.8807896375656,None
1,100,29.21,10.543524078788842,0.0,0.0,302.65280975341796,107.79080786794016,496.7288308143616,None
2,100,10.57,9.782898343538072,0.83,0.37563279941985916,348.0392610740662,146.69966982393166,885.5962443351746,None
3,100,8.15,9.094366388044856,0.83,0.37563279941985916,340.23535413742064,117.46343151148342,885.5962443351746,None
4,100,2.04,1.496128336741204,5.37,2.9551818894951296,438.6547632360458,180.4134812337901,3154.477309823036,None
5,100,10.5,7.942921376924236,1.7,0.5567764362830018,377.4265161895752,117.73684972296849,1324.701705813408,None
6,100,20.28,9.962007829749984,0.95,0.2179449471770345,319.9921895980835,111.69555024803934,952.8769884109497,None
1,100,28.86,11.363115769893396,0.0,0.0,293.4265611565113,122.04202592512542,478.97382628917694,None
2,100,9.14,9.327400495314864,0.79,0.4073082370883263,331.35267661213874,153.80673291004283,877.3847892284393,None
3,100,7.74,9.43039765863561,0.79,0.4073082370883263,340.2319375145435,155.0164731221157,877.3847892284393,None
4,100,2.02,1.5746745695539774,6.59,3.2127713893148386,407.4306933224201,176.84032707152684,3678.1710679531097,None
5,100,11.3,9.395211546314432,1.65,0.5722761571129794,359.2193743491173,116.15404509305368,1269.5761177539825,None
6,100,23.24,10.03605500184211,0.95,0.2179449471770345,301.43686111211775,124.72725755043332,941.5441696643829,None
1,250,74.004,24.369899138076057,0.0,0.0,312.8068299255371,103.49043046284028,1233.7263433933258,None
2,250,17.232,23.398678937068212,0.856,0.3510897321198663,340.2187476425171,121.52043488882819,2287.4924886226654,None
3,250,13.2,23.59033700479923,0.856,0.3510897321198663,349.20842943954466,112.44568708774091,2287.4924886226654,None
4,250,2.04,1.4987995196156148,9.872,4.42262546458549,474.0056665506363,174.95897595030152,13476.396179556847,None
5,250,28.276,23.13455908376037,1.86,0.4004996878900139,410.9587883453369,102.57350622925705,3566.2052484750748,None
6,250,61.36,24.691828607861346,0.98,0.13999999999999985,332.87281199646,105.50954314434556,2448.4643284082413,None
1,250,72.16,27.751439602298117,0.0,0.0,302.5809641036987,117.99301099987446,1262.2857152223587,None
2,250,16.592,22.860304809866378,0.856,0.3510897321198663,326.9514515724182,131.27139093233058,2334.679236292839,None
3,250,12.284,23.32456524782402,0.856,0.3510897321198663,337.99518454933167,126.90282268221746,2334.679236292839,None
4,250,1.92,1.2874781551544872,11.076,5.115293148979827,443.94576517772674,172.77536477280907,15064.976883649826,None
5,250,22.512,19.503072988634383,1.86,0.4004996878900144,392.5957419586182,91.07853385382685,3640.8516305685043,None
6,250,56.404,25.406628741334426,0.98,0.13999999999999985,310.0422043533325,116.21171314141604,2505.958194732666,None
